,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
202,5.09,9.532,0.775,67.5,0.564,0.092,0.923
203,5.887,9.576,0.836,67.8,0.659,0.123,0.913
204,6.016,9.609,0.873,68.1,0.722,0.079,0.963
205,5.516,9.583,0.899,68.4,0.74,0.138,0.916
206,4.739,9.492,0.883,46.82,0.824,-0.195,0.723
207,5.451,9.59,0.832,49.86,0.858,-0.164,0.806
208,3.553,9.556,0.866,52.9,0.826,-0.143,0.814
209,3.52,9.6,0.86,53.68,0.813,-0.25,0.816
210,4.836,9.632,0.837,54.46,0.799,-0.203,0.814
211,4.128,9.728,0.856,55.24,0.767,-0.154,0.749
212,4.031,9.756,0.859,56.02,0.791,-0.105,0.743
213,3.762,9.724,0.816,56.8,0.857,-0.116,0.86
214,3.499,9.748,0.768,57.5,0.852,-0.253,0.729
215,3.505,9.756,0.768,58.2,0.817,-0.248,0.731
216,3.461,9.778,0.795,58.9,0.818,-0.254,0.807
217,3.471,9.785,0.774,59.6,0.833,-0.239,0.792
219,6.321,9.515,0.886,63.78,0.777,-0.016,0.728
220,6.691,9.555,0.878,64.02,0.782,-0.078,0.688
221,7.001,9.544,0.913,64.26,0.767,-0.055,0.723
222,6.837,9.607,0.906,64.5,0.806,-0.054,0.656
223,7.038,9.637,0.916,64.76,0.834,-0.072,0.662
225,7.14,9.668,0.91,65.28,0.785,-0.095,0.707
226,6.981,9.664,0.898,65.54,0.714,-0.115,0.71
227,6.547,9.62,0.907,65.8,0.799,-0.016,0.771
228,6.375,9.578,0.912,66.0,0.807,-0.1,0.781
229,6.333,9.583,0.905,66.2,0.765,-0.175,0.794
230,6.191,9.589,0.882,66.4,0.751,-0.117,0.763
231,6.451,9.592,0.899,66.6,0.83,-0.062,0.762
232,6.11,9.522,0.831,66.8,0.786,-0.053,0.729
233,3.844,9.715,0.832,65.1,0.566,-0.138,0.976
234,3.912,9.765,0.843,65.7,0.545,-0.144,0.941
235,3.875,9.795,0.86,65.8,0.664,-0.228,0.948
236,4.222,9.804,0.838,65.9,0.641,-0.172,0.938
237,3.993,9.813,0.829,66.0,0.603,-0.191,0.962
238,4.438,9.838,0.886,66.1,0.576,-0.055,0.955
239,4.865,9.883,0.908,66.2,0.637,-0.2,0.941
240,4.838,9.928,0.926,66.4,0.7,-0.17,0.936
241,5.097,9.969,0.942,66.6,0.689,-0.154,0.911
242,5.099,10.007,0.924,66.8,0.724,-0.176,0.952
243,5.108,10.047,0.948,67.0,0.822,-0.109,0.943
244,5.598,9.991,0.916,67.2,0.818,-0.004,0.901
245,3.801,7.367,0.796,46.66,0.588,0.028,0.798
246,4.017,7.377,0.771,47.42,0.582,-0.06,0.833
247,3.846,7.403,0.727,48.18,0.612,-0.101,0.887
248,4.036,7.453,0.773,49.7,0.587,-0.036,0.767
249,4.785,7.487,0.71,50.24,0.725,-0.105,0.707
250,3.955,7.52,0.744,50.78,0.622,-0.07,0.726
251,3.326,7.546,0.745,51.32,0.741,-0.016,0.765
252,3.481,7.559,0.742,51.86,0.71,-0.004,0.801
253,4.419,7.568,0.705,52.4,0.659,0.004,0.693
254,4.206,7.596,0.764,52.9,0.645,-0.001,0.721
255,4.647,7.627,0.785,53.4,0.614,-0.063,0.727
256,4.927,7.665,0.665,53.9,0.721,-0.013,0.757
257,4.741,7.691,0.683,54.4,0.678,-0.004,0.729
258,3.563,6.719,0.291,49.02,0.26,-0.019,0.86
259,3.792,6.723,0.326,49.66,0.427,-0.019,0.718
260,3.706,6.748,0.422,50.68,0.49,-0.062,0.677
261,2.905,6.787,0.565,51.82,0.431,-0.059,0.808
262,3.775,6.635,0.485,53.4,0.646,-0.024,0.599
265,4.462,7.879,0.619,56.9,0.914,0.045,0.888
266,4.111,7.865,0.818,57.7,0.937,0.152,0.965
267,4.141,7.907,0.697,58.5,0.94,0.35,0.896
268,4.161,7.96,0.716,58.88,0.927,0.418,0.775
269,3.899,8.014,0.606,59.26,0.956,0.247,0.89
270,3.674,8.068,0.651,59.64,0.941,0.164,0.812
271,3.883,8.121,0.693,60.02,0.938,0.239,0.843
272,4.162,8.173,0.729,60.4,0.956,0.21,0.825
273,4.461,8.225,0.746,60.8,0.958,0.076,0.84
274,4.586,8.276,0.765,61.2,0.964,0.088,0.821
276,4.998,8.387,0.759,62.0,0.957,0.013,0.828
277,4.377,8.362,0.724,62.4,0.963,0.052,0.863
278,3.851,8.007,0.69,45.98,0.653,-0.009,0.907
279,4.35,8.028,0.717,46.56,0.644,-0.031,0.91
280,4.292,8.034,0.697,47.14,0.58,-0.069,0.945
281,4.741,8.029,0.729,47.72,0.698,-0.017,0.925
282,4.554,8.035,0.759,48.3,0.792,0.002,0.875
283,4.434,8.048,0.738,48.7,0.817,-0.029,0.87
284,4.245,8.065,0.743,49.1,0.766,-0.032,0.898
285,4.271,8.09,0.76,49.5,0.794,-0.03,0.867
286,4.24,8.12,0.778,49.9,0.795,-0.071,0.856
287,5.038,8.149,0.646,50.3,0.791,0.049,0.868
288,4.816,8.167,0.659,51.1,0.713,-0.003,0.879
289,5.074,8.176,0.695,51.9,0.767,-0.028,0.844
290,5.251,8.19,0.677,52.7,0.816,0.036,0.884
291,4.937,8.203,0.711,53.5,0.712,-0.008,0.817
292,5.241,8.175,0.72,54.3,0.675,0.049,0.837
293,7.418,10.652,0.962,71.3,0.957,0.256,0.503
295,7.486,10.738,0.939,71.84,0.926,0.262,0.37
296,7.488,10.697,0.943,72.02,0.915,0.246,0.413
297,7.65,10.717,0.954,72.2,0.934,0.23,0.413
298,7.426,10.738,0.922,72.36,0.951,0.253,0.433
299,7.415,10.744,0.948,72.52,0.918,0.29,0.466
300,7.594,10.757,0.936,72.68,0.916,0.316,0.406
301,7.304,10.775,0.918,72.84,0.939,0.27,0.442
302,7.413,10.774,0.939,73.0,0.931,0.253,0.427
303,7.245,10.773,0.924,73.2,0.912,0.211,0.385
304,7.415,10.792,0.934,73.4,0.945,0.163,0.362
305,7.175,10.798,0.923,73.6,0.946,0.106,0.372
306,7.109,10.8,0.925,73.8,0.912,0.112,0.436
307,7.025,10.73,0.931,74.0,0.887,0.05,0.434
308,4.16,6.987,0.532,40.9,0.663,0.081,0.782
309,3.568,7.091,0.483,42.7,0.69,-0.036,0.845
310,3.678,7.125,0.387,43.08,0.78,-0.016,0.834
311,2.693,6.785,0.29,44.9,0.624,0.033,0.859
312,3.476,6.817,0.32,45.2,0.645,0.073,0.89
313,3.435,7.36,0.724,43.18,0.306,0.028,0.961
314,4.141,7.359,0.479,43.66,0.295,-0.011,0.874
315,4.632,7.356,0.571,44.14,0.527,0.063,0.944
316,3.639,7.364,0.646,44.62,0.401,0.021,0.931
317,3.743,7.457,0.734,45.1,0.505,0.025,0.858
318,4.393,7.425,0.819,45.42,0.54,0.031,0.876
319,4.033,7.476,0.673,45.74,0.563,-0.034,0.884
320,3.508,7.498,0.714,46.06,0.488,-0.045,0.882
321,3.46,7.532,0.733,46.38,0.567,-0.07,0.881
322,4.323,7.527,0.751,46.7,0.474,-0.029,0.889
323,4.029,7.431,0.616,47.2,0.525,0.052,0.82
324,4.559,7.37,0.661,47.7,0.615,0.008,0.792
325,4.486,7.363,0.577,48.2,0.65,0.024,0.763
326,4.251,7.365,0.64,48.7,0.537,0.055,0.832
327,6.063,9.85,0.836,68.66,0.744,0.168,0.634
328,5.698,9.887,0.815,68.72,0.662,0.244,0.723
329,5.789,9.911,0.804,68.78,0.64,0.084,0.741
330,6.494,9.885,0.832,68.84,0.747,0.149,0.734
331,6.636,9.931,0.857,68.9,0.786,0.108,0.702
332,6.526,9.98,0.819,69.04,0.701,0.112,0.753
333,6.599,10.023,0.855,69.18,0.734,0.195,0.782
334,6.74,10.053,0.862,69.32,0.737,0.085,0.741
335,6.844,10.059,0.862,69.46,0.733,0.217,0.758
336,6.533,10.07,0.827,69.6,0.769,0.041,0.812
337,6.579,10.074,0.841,69.7,0.652,0.102,0.858
338,6.32,10.072,0.88,69.8,0.79,-0.02,0.836
339,6.436,10.097,0.89,69.9,0.789,-0.06,0.816
340,5.942,10.095,0.869,70.0,0.659,-0.103,0.86
341,6.151,10.02,0.888,70.1,0.781,0.033,0.812
357,6.025,9.277,0.91,65.22,0.805,-0.015,0.808
358,6.138,9.33,0.894,65.34,0.786,-0.04,0.86
359,6.168,9.351,0.88,65.46,0.795,-0.042,0.763
360,6.272,9.351,0.886,65.58,0.757,-0.055,0.837
361,6.408,9.384,0.893,65.7,0.816,-0.05,0.815
362,6.464,9.442,0.904,65.92,0.811,-0.073,0.847
363,6.375,9.471,0.914,66.14,0.828,-0.009,0.868
364,6.607,9.512,0.901,66.36,0.841,-0.071,0.898
365,6.449,9.546,0.907,66.58,0.801,-0.09,0.887
366,6.388,9.564,0.89,66.8,0.791,-0.1,0.843
367,6.234,9.571,0.882,67.1,0.835,-0.1,0.898
368,6.157,9.569,0.909,67.4,0.838,-0.157,0.875
369,5.984,9.579,0.871,67.7,0.851,-0.148,0.855
370,6.35,9.598,0.873,68.0,0.822,-0.172,0.854
371,5.709,9.495,0.797,68.3,0.84,-0.085,0.808
372,3.476,7.952,0.629,54.36,0.508,-0.074,0.838
373,3.812,7.965,0.721,54.7,0.529,0.005,0.741
374,3.838,7.981,0.722,55.02,0.5,-0.075,0.732
375,3.956,7.988,0.719,55.34,0.534,-0.121,0.651
376,3.973,8.028,0.621,57.2,0.56,0.086,0.794
377,4.609,8.033,0.632,57.5,0.538,0.077,0.762
379,4.51,8.18,0.637,54.58,0.745,-0.109,0.833
380,3.919,8.192,0.622,54.96,0.773,-0.112,0.8
381,3.955,8.201,0.68,55.34,0.726,-0.078,0.752
382,4.056,8.242,0.686,55.72,0.662,-0.11,0.808
383,4.691,8.243,0.642,56.1,0.85,-0.104,0.841
384,4.119,8.19,0.615,56.7,0.786,-0.072,0.79
385,4.884,8.146,0.655,57.3,0.778,-0.131,0.763
386,5.49,8.136,0.621,57.9,0.699,-0.092,0.738
387,5.213,8.101,0.625,58.5,0.686,-0.046,0.741
388,3.984,6.728,0.733,49.34,0.556,-0.022,0.824
389,4.517,6.797,0.744,50.34,0.631,-0.025,0.856
390,4.639,6.832,0.77,50.78,0.557,-0.035,0.807
391,4.497,6.88,0.83,51.22,0.48,0.012,0.913
392,4.414,6.937,0.822,51.66,0.556,0.009,0.814
393,3.903,6.971,0.767,52.1,0.574,-0.048,0.866
394,4.522,6.962,0.864,52.5,0.637,-0.024,0.875
395,4.311,6.966,0.67,52.9,0.704,0.068,0.809
396,7.082,9.565,0.937,69.94,0.882,0.06,0.798
397,7.432,9.63,0.918,69.88,0.923,0.098,0.82
398,6.851,9.662,0.916,69.82,0.912,0.096,0.816
399,7.615,9.639,0.9,69.76,0.886,0.065,0.787
400,7.271,9.675,0.915,69.7,0.881,0.047,0.763
401,7.229,9.705,0.892,69.9,0.926,-0.033,0.837
402,7.272,9.74,0.902,70.1,0.929,0.046,0.794
403,7.158,9.751,0.902,70.3,0.898,0.018,0.813
404,7.247,9.775,0.914,70.5,0.927,0.01,0.788
405,6.854,9.799,0.878,70.7,0.907,-0.059,0.761
406,7.136,9.83,0.901,70.9,0.873,-0.032,0.781
407,7.225,9.858,0.922,71.1,0.936,-0.076,0.742
408,7.141,9.874,0.876,71.3,0.942,-0.107,0.781
409,6.998,9.885,0.906,71.5,0.927,-0.146,0.836
410,5.821,10.162,0.91,67.12,0.662,-0.092,0.934
411,5.433,10.104,0.861,67.64,0.549,-0.271,0.958
412,5.596,10.091,0.796,67.9,0.564,-0.237,0.973
413,5.385,10.091,0.79,68.0,0.517,-0.198,0.977
414,6.028,10.072,0.776,68.1,0.542,-0.242,0.924
415,5.885,10.069,0.751,68.2,0.627,-0.204,0.936
416,5.381,10.072,0.646,68.3,0.519,0.132,0.918
417,5.205,10.104,0.768,68.4,0.694,-0.096,0.849
418,5.417,10.146,0.798,69.0,0.672,-0.065,0.884
419,5.343,10.189,0.77,69.6,0.716,-0.104,0.892
420,5.536,10.224,0.91,70.2,0.691,-0.151,0.925
